" Date","Type"," Amount"
"12/7/2023","Withdrawal","1457.61"
"4/27/2023","Deposit","1660.99"
"4/5/2023","Deposit","839.91"
"7/28/2023","Withdrawal","4908.89"
"1/16/2023","Transfer","589.07"
"4/21/2023","Withdrawal","4914.67"
"11/22/2023","Deposit","3534.9"
"8/10/2023","Deposit","454.87"
"9/28/2023","Withdrawal","768.56"
"12/29/2023","Deposit","1641.59"
"6/8/2023","Withdrawal","1309.13"
"4/4/2023","Deposit","4865.91"
"12/2/2023","Deposit","3070.58"
"10/27/2023","Transfer","381.21"
"6/13/2023","Withdrawal","2631.77"
"10/23/2023","Transfer","4486.73"
"11/15/2023","Transfer","2086.75"
"9/12/2023","Deposit","3333.99"
"11/15/2023","Withdrawal","3868.23"
"9/30/2023","Deposit","933.29"
"2/7/2023","Withdrawal","4278.95"
"7/1/2023","Transfer","2249.62"
"7/6/2023","Deposit","292.88"
"1/25/2023","Deposit","4395.73"
"11/29/2023","Transfer","2826.12"
"5/22/2023","Transfer","999.63"
"5/4/2023","Withdrawal","1594.08"
"1/25/2023","Deposit","2851.17"
"10/18/2023","Transfer","1877.13"
"12/1/2023","Withdrawal","1174.58"
"6/24/2023","Withdrawal","2401.76"
"8/20/2023","Transfer","933.38"
"5/25/2023","Deposit","1234.44"
"12/11/2023","Transfer","4135.4"
"1/23/2023","Transfer","1150.42"
"8/12/2023","Withdrawal","3479.88"
"5/2/2023","Withdrawal","1259.84"
"8/11/2023","Withdrawal","1069.87"
"8/18/2023","Transfer","1263.27"
"1/17/2023","Withdrawal","2346.81"
"10/12/2023","Transfer","739.94"
"1/2/2023","Transfer","542"
"9/24/2023","Withdrawal","3786.14"
"1/16/2023","Transfer","126.28"
"12/3/2023","Withdrawal","1933.57"
"1/21/2023","Transfer","1986.21"
"9/8/2023","Transfer","4466.28"
"10/4/2023","Withdrawal","3874.71"
"1/6/2023","Transfer","2558.28"
"10/29/2023","Transfer","2404.27"
"8/25/2023","Withdrawal","2832.35"
"1/23/2023","Deposit","1795.56"
"11/10/2023","Withdrawal","3506.88"
"7/4/2023","Deposit","3433.5"
"8/12/2023","Transfer","2877.53"
"2/8/2023","Deposit","297.89"
"1/31/2023","Withdrawal","642.92"
"1/2/2023","Transfer","205.99"
"12/8/2023","Deposit","3595.39"
"6/14/2023","Withdrawal","2393.22"
"10/27/2023","Deposit","4775.36"
"5/7/2023","Withdrawal","4762.12"
"11/15/2023","Transfer","3992.87"
"3/16/2023","Withdrawal","2220.81"
"11/5/2023","Deposit","1588.59"
"3/17/2023","Transfer","1012.86"
"12/16/2023","Transfer","1170.15"
"10/2/2023","Withdrawal","4951.69"
"10/28/2023","Transfer","2656.44"
